,AFG,ALB,ALG,AND,ANG,AAB,ARG,ARM,AUL,AUS,AZE,BHM,BAH,BNG,BAR,BLR,BEL,BLZ,BEN,BHU,BOL,BOS,BOT,BRA,BRU,BUL,BFO,MYA,BUI,CAP,CAM,CAO,CAN,CEN,CHA,CHL,CHN,COL,COM,DRC,CON,COS,CDI,CRO,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,SAL,EQG,ERI,EST,SWA,ETH,FIJ,FIN,FRN,GAB,GAM,GRG,GER,GHA,GRC,GRN,GUA,GUI,GNB,GUY,HAI,HON,HUN,ICE,IND,INS,IRN,IRQ,IRE,ISR,ITA,JAM,JPN,JOR,KZK,KEN,KIR,PRK,KOR,KOS,KUW,KYR,LAO,LAT,LEB,LES,LBR,LIB,LIE,LIT,LUX,MAG,MAW,MAL,MAD,MLI,MLT,MSI,MAA,MAS,MEX,FSM,MLD,MNC,MON,MNG,MOR,MZM,NAM,NAU,NEP,NTH,NEW,NIC,NIR,NIG,MAC,NOR,OMA,PAK,PAL,PAN,PNG,PAR,PER,PHI,POL,POR,QAT,ROM,RUS,RWA,SKN,SLU,SVG,WSM,SNM,STP,SAU,SEN,SER,SEY,SIE,SIN,SLO,SLV,SOL,SOM,SAF,SSD,SPN,SRI,SUD,SUR,SWD,SWZ,SYR,TAW,TAJ,TAZ,THI,ETM,TOG,TON,TRI,TUN,TUR,TKM,TUV,UGA,UKR,UAE,UKG,USA,URU,UZB,VAN,VEN,DRV,YEM,ZAM,ZIM
CAO,38,38,42,18,39,33,41,34,37,37,37,36,40,43,34,34,39,33,47,29,38,39,39,42,31,36,45,35,37,38,36,54,40,42,45,39,40,40,39,45,45,39,46,38,35,40,38,37,39,33,40,38,44,37,36,36,34,39,41,38,39,44,46,41,34,39,44,38,28,40,42,41,35,38,39,37,34,43,43,40,39,35,35,38,37,40,41,38,41,24,25,38,7,42,37,34,34,39,37,39,44,16,34,35,42,42,43,33,44,36,23,44,43,39,22,33,24,38,37,44,45,40,16,38,39,37,36,46,49,34,38,36,44,21,38,39,38,41,39,39,38,42,39,39,40,27,34,30,31,24,39,41,48,38,39,43,35,35,33,27,35,44,22,38,41,42,36,39,39,37,3,37,43,41,31,45,31,39,44,39,32,21,42,39,41,39,37,39,34,34,39,38,41,41,40
CAN,37,43,41,21,33,34,53,38,62,59,41,35,35,43,35,37,65,34,41,27,40,43,35,53,32,49,39,34,31,34,36,40,81,32,33,48,55,45,32,40,37,42,39,52,32,47,53,63,34,33,41,43,44,40,28,30,51,33,38,38,63,71,35,33,41,68,43,56,27,44,38,32,35,38,40,54,50,54,47,36,33,57,44,69,36,70,45,40,39,25,22,63,7,39,38,33,47,37,34,35,35,22,45,54,40,37,43,30,39,46,23,36,40,57,22,40,27,42,43,45,41,37,17,39,65,57,36,37,45,43,63,31,45,22,40,41,42,48,47,56,59,38,53,58,36,27,34,29,31,27,33,40,43,48,36,36,44,51,50,27,29,50,21,62,44,36,35,65,64,33,5,37,42,47,31,37,30,42,44,59,31,21,38,48,37,72,74,42,34,32,41,39,38,38,35
CEN,35,33,35,18,35,29,34,31,30,33,32,32,32,33,31,29,33,30,39,27,32,35,36,34,27,30,40,31,36,37,31,42,32,43,43,33,32,34,37,40,42,34,40,33,27,33,31,32,36,30,35,33,35,32,34,31,30,35,36,33,32,36,41,36,32,33,38,32,28,34,37,37,31,34,34,32,29,33,34,32,32,30,30,33,32,33,34,32,34,22,19,32,7,34,32,30,29,32,34,36,36,15,30,31,38,36,32,30,40,31,21,38,37,32,21,31,20,34,31,36,37,36,16,32,33,30,32,41,39,31,33,29,33,18,33,33,33,34,33,31,32,34,32,31,36,26,31,27,29,23,36,33,40,32,36,37,29,29,29,24,30,36,21,33,32,35,31,32,34,31,3,34,37,34,30,39,26,34,37,31,28,19,36,30,33,31,30,33,31,30,33,32,34,37,35
CHA,37,35,37,19,36,29,35,32,31,34,34,32,34,37,31,30,34,30,44,28,34,37,37,36,27,31,43,32,37,38,33,45,33,43,48,34,35,35,38,41,43,35,43,34,28,34,32,34,38,30,37,35,39,34,35,31,32,35,37,33,34,39,43,40,33,35,41,33,28,36,41,40,31,35,35,33,30,35,36,34,34,32,31,35,32,34,38,34,36,22,20,34,7,36,34,31,30,34,35,37,38,16,31,32,39,38,34,32,42,32,21,40,38,33,22,33,21,35,32,39,39,38,16,35,35,31,33,46,44,32,35,31,36,19,34,34,35,36,35,33,34,36,34,33,38,26,31,27,30,24,37,35,44,34,37,40,30,30,30,24,32,37,22,35,33,37,33,34,36,33,3,36,38,36,31,43,27,35,40,33,29,19,39,32,35,33,31,35,32,30,34,33,38,39,37
CHL,38,38,43,20,37,36,60,35,45,45,39,40,39,42,39,35,45,39,41,30,50,41,37,60,31,41,39,34,33,37,35,39,48,33,34,64,48,56,33,41,38,51,40,46,40,43,42,44,35,35,50,55,42,49,30,33,41,35,38,37,47,48,37,36,37,46,41,44,32,51,37,34,41,44,49,44,40,47,45,41,36,42,42,50,42,49,43,36,39,22,25,50,6,40,35,33,39,39,36,37,38,19,38,40,41,38,42,32,38,40,22,37,42,57,21,37,27,39,39,44,41,38,15,40,46,46,46,37,45,39,45,35,43,20,52,38,53,59,49,43,48,40,45,45,36,29,36,32,30,28,35,41,43,44,36,37,40,41,41,24,30,45,21,49,44,38,41,46,47,36,5,36,41,46,31,38,29,44,43,44,31,19,39,41,38,45,45,54,33,32,51,39,40,37,38
CHN,39,34,43,18,35,32,54,36,51,47,38,38,38,52,34,37,48,36,46,33,47,40,34,60,36,40,40,38,34,34,44,40,55,32,35,48,77,46,32,40,36,43,42,47,37,41,41,49,34,30,43,48,49,46,31,33,39,35,39,38,51,59,38,40,35,57,49,43,28,48,41,34,34,38,42,43,39,64,53,44,36,46,41,56,38,60,46,43,44,23,25,65,5,39,41,36,37,39,34,37,39,16,36,41,38,40,52,33,39,37,24,38,40,52,23,36,25,45,38,45,38,42,16,48,52,49,40,38,51,37,49,34,55,23,42,41,48,53,51,47,48,42,46,60,40,27,31,29,30,25,33,42,46,46,35,39,44,39,41,25,31,51,21,52,50,39,35,50,50,36,5,38,43,50,33,42,30,40,42,49,31,21,39,47,41,56,61,45,35,32,44,43,44,42,41
COL,39,39,43,20,37,38,57,35,42,42,39,42,39,42,41,35,44,40,41,29,49,41,37,56,30,41,40,35,33,37,35,40,45,34,35,56,46,62,33,43,39,51,42,44,40,43,41,43,35,37,51,53,42,48,30,33,39,35,40,37,45,46,38,36,37,46,43,43,34,52,38,34,43,46,49,42,39,46,42,41,37,40,41,48,43,47,42,37,38,22,25,45,6,40,36,33,39,40,36,38,38,19,37,39,42,38,40,32,39,40,22,38,42,58,21,37,27,40,39,43,42,38,15,38,45,42,46,38,46,39,44,35,43,20,52,38,51,58,47,42,47,41,45,43,36,31,38,34,30,28,36,41,43,42,37,38,39,38,39,25,30,45,21,49,43,38,43,44,45,37,4,37,42,44,32,39,29,48,43,43,31,19,39,40,38,44,41,51,33,32,53,38,41,38,37
COM,33,32,39,17,33,32,34,29,29,32,32,33,36,34,33,28,33,31,39,26,31,35,34,35,27,30,38,29,35,37,30,39,32,37,38,33,32,33,46,37,37,34,39,33,28,33,31,32,41,31,35,32,39,31,32,32,30,35,35,33,32,35,40,37,31,32,37,32,30,32,37,39,33,34,32,32,30,34,34,33,35,30,30,32,32,32,38,31,35,24,20,32,7,37,30,28,29,36,32,35,39,14,29,31,38,36,33,32,38,31,23,40,40,32,22,30,20,33,31,40,38,35,17,31,32,31,31,38,38,30,32,33,34,20,33,32,32,33,33,31,32,37,32,31,35,28,33,29,31,22,35,37,40,32,37,36,31,29,28,25,35,36,21,32,32,39,34,32,33,34,3,32,36,34,30,38,29,34,41,32,29,21,37,30,37,31,30,32,30,32,34,32,37,35,35
DRC,39,38,41,20,40,33,43,35,38,40,37,35,38,40,35,34,40,33,43,29,38,38,40,43,29,38,43,35,40,39,36,45,40,40,41,41,40,43,37,52,45,41,45,40,34,41,38,39,40,33,42,41,44,38,34,37,37,40,44,38,40,42,42,39,36,40,45,40,29,42,41,38,34,39,39,39,35,42,39,40,36,37,36,40,37,41,40,36,40,23,24,39,7,39,36,34,36,39,39,40,41,17,35,37,47,42,38,32,42,36,22,42,46,41,22,36,24,38,38,42,44,41,16,37,40,38,37,42,47,37,40,34,41,20,39,38,38,43,42,39,40,39,40,38,42,27,34,30,31,26,39,39,45,39,42,41,36,35,36,26,33,46,22,40,40,42,35,40,40,37,3,37,44,41,32,43,29,41,43,38,31,20,43,37,38,38,36,40,33,32,41,38,38,43,42
CON,38,36,39,19,39,32,39,34,35,38,36,34,35,37,35,32,37,31,43,29,36,37,39,40,28,35,43,34,38,39,35,45,37,42,43,38,36,39,37,45,48,39,44,37,31,38,36,36,39,33,39,38,39,36,36,34,34,37,41,36,37,41,43,39,35,37,43,37,29,39,41,39,33,37,38,37,32,39,37,37,35,34,34,37,36,38,38,35,38,23,23,36,7,37,34,33,33,36,38,39,39,16,33,35,43,40,35,31,43,34,22,40,41,37,22,35,22,37,35,39,41,40,16,36,37,35,36,43,44,35,38,32,37,20,37,37,36,39,38,36,37,36,37,35,39,27,34,30,31,25,38,36,44,36,39,40,33,33,33,26,33,42,22,37,36,39,33,37,39,34,3,36,42,38,32,43,28,38,41,35,31,20,40,34,35,35,34,37,32,32,37,36,38,40,39
COS,38,39,40,21,37,36,51,36,40,42,39,40,38,41,39,35,42,39,42,29,46,41,37,50,30,40,40,33,34,38,36,39,42,34,35,51,43,51,34,41,39,54,41,43,39,43,41,40,36,36,51,50,41,50,31,33,38,35,38,36,42,44,38,36,38,43,42,42,32,51,38,35,39,45,50,42,37,43,39,39,36,38,40,45,40,45,42,36,38,22,24,44,7,39,35,34,38,40,36,37,38,19,37,39,42,38,38,32,39,40,22,37,42,51,21,38,27,39,39,44,41,38,15,38,42,41,48,38,43,39,41,34,41,20,51,36,47,51,44,41,45,40,44,41,37,29,37,32,30,28,36,39,43,41,37,36,37,38,38,24,30,42,21,46,41,38,39,41,44,35,5,36,41,43,31,39,28,43,43,41,31,19,39,40,37,41,39,49,33,33,48,39,40,37,37
CDI,41,39,43,21,39,33,43,35,36,39,39,35,38,42,35,33,39,32,52,29,41,41,39,44,30,36,51,34,37,41,36,46,39,40,43,40,42,42,39,45,44,41,57,38,34,39,39,38,41,33,42,40,44,38,34,36,36,37,42,36,40,46,45,44,36,40,48,38,29,42,45,45,34,39,40,38,33,42,42,40,37,36,35,40,36,40,43,40,40,23,23,38,7,40,37,33,34,40,38,42,41,16,35,37,44,42,40,34,49,36,23,44,42,41,22,37,24,39,37,43,45,41,16,40,41,36,37,50,49,36,39,35,44,20,39,37,40,44,41,40,40,40,40,39,40,27,34,30,31,27,38,39,53,38,40,44,34,34,34,26,36,44,22,39,39,43,35,41,41,38,3,39,44,40,33,50,28,40,45,38,33,20,43,37,39,40,38,40,36,32,41,37,42,41,39
CRO,37,46,42,22,34,32,50,41,45,60,43,36,37,43,34,42,58,34,41,28,40,47,35,49,30,56,38,33,33,36,35,38,52,33,34,46,47,44,33,40,37,43,38,67,33,52,56,55,35,32,42,44,44,42,30,31,52,34,36,35,58,61,37,35,45,60,43,59,28,42,37,33,34,39,41,59,47,45,43,38,34,53,45,62,36,51,45,41,39,22,23,53,7,38,38,32,52,38,34,35,36,23,49,53,40,37,41,31,37,51,21,37,41,49,20,45,30,41,47,45,39,38,14,39,57,44,39,37,45,49,53,33,43,20,41,35,44,44,45,57,57,41,58,51,36,26,33,28,29,29,34,39,42,55,36,36,37,55,56,22,28,45,20,58,43,36,36,55,53,34,3,37,40,45,29,39,28,38,46,54,32,19,37,52,38,54,51,42,35,31,42,37,40,37,36
CUB,30,30,33,19,32,32,41,31,31,31,31,37,33,34,32,30,31,34,34,24,39,32,30,41,27,31,32,29,27,31,30,35,32,27,28,40,37,40,28,34,31,39,34,33,47,34,32,31,28,30,42,39,34,39,26,29,29,30,32,33,33,36,32,31,29,33,34,33,28,40,30,30,34,39,39,32,30,37,35,34,31,30,31,35,38,36,33,33,31,20,25,35,0,33,31,28,29,33,29,31,34,16,29,30,33,32,35,27,30,32,21,33,36,40,19,29,26,31,32,34,34,31,17,32,33,32,37,30,36,29,32,30,36,18,39,34,38,40,37,33,35,35,35,35,30,26,31,30,26,23,30,35,35,32,31,31,30,30,29,22,27,35,16,35,35,34,34,32,32,31,2,30,33,36,28,32,27,37,34,34,25,19,32,34,33,32,31,39,29,29,41,33,32,30,32
CYP,38,42,41,22,35,34,45,40,44,51,42,36,38,43,35,39,51,34,41,28,39,43,37,45,31,49,39,33,33,36,36,40,47,33,34,43,41,43,33,41,38,43,39,52,34,55,49,48,35,34,42,42,43,40,30,32,48,35,37,37,51,52,37,35,41,51,43,53,28,42,37,34,35,39,39,51,43,44,40,39,35,49,41,51,37,47,43,39,39,23,24,46,7,39,37,33,48,39,36,36,37,22,45,48,41,38,40,32,38,49,21,37,42,47,20,40,29,40,43,44,41,38,15,38,50,44,38,37,45,44,46,34,42,20,41,37,39,43,43,50,51,41,51,45,37,27,35,30,30,28,34,39,42,48,37,38,37,47,48,24,29,44,20,51,43,37,35,50,46,35,3,37,42,44,29,38,29,39,45,48,32,20,39,45,37,48,42,41,35,33,42,38,39,37,36
CZE,36,46,40,22,33,31,46,39,48,61,42,33,36,39,32,41,60,31,41,26,39,46,34,45,28,57,38,30,31,34,33,38,53,31,32,42,41,41,31,38,36,41,39,56,32,49,65,57,33,31,39,39,42,37,28,31,53,32,35,34,59,63,36,34,43,61,40,62,26,39,36,32,32,37,38,62,47,45,40,36,33,54,45,61,33,54,43,40,36,21,21,50,7,36,36,31,52,37,33,34,36,23,52,57,39,37,38,29,37,50,21,35,39,49,20,43,29,39,47,42,37,36,13,37,60,45,36,36,41,47,55,31,41,20,39,33,39,42,41,64,60,38,59,51,34,25,32,27,28,29,32,37,42,51,34,33,35,59,56,22,28,45,19,59,39,36,32,58,56,32,3,36,39,42,27,36,26,35,44,56,32,18,36,51,36,58,53,39,35,31,40,36,38,35,34
DEN,37,42,41,20,33,31,50,37,54,64,41,34,35,42,33,38,69,33,41,28,39,43,34,50,28,53,38,33,31,34,34,37,63,32,34,44,49,43,32,39,36,40,38,55,31,48,57,76,33,30,40,42,43,38,28,30,58,33,38,36,74,71,35,35,41,71,42,61,27,41,37,32,33,36,38,59,54,48,41,36,33,61,45,71,34,62,45,40,40,23,21,58,6,39,39,30,53,36,33,36,35,23,51,59,39,35,38,30,37,50,22,36,39,51,21,41,28,41,43,43,39,38,15,39,72,51,37,37,45,44,71,31,42,21,39,36,40,44,43,62,65,38,58,56,36,26,31,27,30,28,33,39,43,49,35,36,39,55,55,24,29,47,21,68,40,36,35,74,65,33,4,37,40,42,29,38,29,39,42,59,31,20,37,47,37,69,65,38,34,29,40,35,39,38,36
DJI,36,35,41,19,35,31,37,31,31,37,35,31,38,37,33,30,34,30,41,27,33,35,36,38,26,33,39,31,38,37,33,39,34,36,38,35,34,35,41,40,39,36,41,35,28,35,33,33,49,31,36,35,43,34,32,34,31,35,40,33,33,37,39,39,32,35,41,35,29,34,41,39,33,35,35,35,29,37,36,35,37,33,31,35,32,35,41,34,38,23,21,34,7,39,32,31,31,39,36,36,41,14,31,32,40,39,35,33,40,31,21,42,39,34,21,33,20,34,32,42,39,37,16,34,34,32,33,39,42,33,34,35,37,19,34,33,34,35,35,33,34,38,34,34,37,27,33,29,31,24,36,39,41,33,37,40,30,31,31,25,39,38,23,33,34,44,34,34,35,37,3,34,38,36,31,41,28,34,44,34,32,20,42,32,38,32,30,34,31,32,36,33,41,37,38
DMA,30,32,31,15,31,39,35,29,29,32,31,37,29,32,38,27,31,37,35,23,34,33,33,35,25,31,33,28,30,33,30,33,33,30,30,35,30,37,31,33,33,36,33,32,30,34,31,30,31,45,40,35,31,35,28,29,30,31,31,33,31,31,32,31,31,31,35,32,37,36,32,31,39,39,36,32,29,33,31,29,29,30,28,31,38,31,32,29,31,24,19,30,7,31,27,29,29,31,32,32,29,16,30,31,34,34,31,28,33,31,21,31,35,36,19,30,20,31,29,32,34,33,16,31,30,31,34,33,35,31,30,27,32,19,35,33,34,35,33,31,31,31,32,30,31,35,42,37,30,21,31,30,34,31,34,33,30,30,29,26,26,34,17,30,33,30,38,31,31,29,3,29,34,33,27,32,27,39,34,30,26,22,32,31,29,31,28,35,28,31,37,30,32,31,31
DOM,37,39,39,21,38,39,50,36,39,41,38,43,38,41,41,34,41,43,43,29,46,41,38,49,29,39,42,34,35,40,37,40,41,35,37,50,43,51,35,42,39,51,42,42,42,42,39,40,36,40,57,50,41,50,32,34,39,36,38,39,42,44,38,38,38,43,42,41,36,52,39,38,43,49,50,40,37,42,39,38,35,38,38,45,45,44,41,36,38,24,24,43,7,39,35,34,37,38,36,38,37,19,37,38,42,39,38,33,39,39,23,39,44,51,23,37,27,38,38,43,41,38,17,39,42,40,47,40,44,38,41,34,41,21,50,39,47,50,43,40,45,40,43,40,38,33,41,36,32,28,38,39,43,40,39,39,37,37,38,26,30,42,21,45,41,38,44,41,43,36,5,36,40,42,33,40,30,47,42,40,30,21,39,40,37,41,39,50,33,34,49,38,39,37,38
ECU,38,38,41,20,38,35,54,35,41,41,39,39,38,46,39,34,41,39,46,30,54,39,37,58,29,40,41,34,34,37,38,38,43,33,35,55,48,53,32,41,38,50,40,44,39,42,39,42,35,35,50,62,44,53,30,33,38,35,39,39,43,46,36,40,38,45,45,41,32,54,40,34,40,44,50,40,37,46,44,41,36,40,39,45,41,46,48,36,41,22,24,50,6,40,39,33,37,38,36,37,38,19,36,38,41,40,41,32,41,39,21,37,41,51,21,40,26,41,38,45,40,43,15,44,43,42,46,39,49,38,42,34,45,20,50,38,56,59,47,43,45,40,46,45,39,29,36,32,30,28,35,40,45,42,36,39,37,36,38,24,30,44,21,47,45,38,40,42,43,36,4,37,43,44,31,41,28,44,44,41,31,19,41,43,37,42,42,54,33,31,49,37,43,42,42
EGY,39,41,53,19,37,31,45,38,40,43,43,35,46,51,32,36,43,33,49,29,43,43,36,51,30,41,45,32,36,36,40,44,44,35,39,42,49,42,39,44,39,41,44,44,34,43,42,43,43,31,41,44,69,42,32,35,39,36,41,36,43,48,40,41,38,47,49,43,26,44,44,38,34,38,38,42,37,51,47,46,44,42,40,45,37,45,56,41,45,21,25,47,6,48,42,33,38,48,36,38,49,18,36,39,42,42,46,32,44,38,20,45,43,43,20,39,27,44,39,54,43,41,13,43,44,39,37,43,56,38,44,41,51,20,39,37,42,47,44,45,43,49,46,49,42,25,32,28,27,24,35,49,50,44,38,41,34,39,38,23,37,46,22,43,48,47,35,45,45,45,2,40,44,47,28,45,27,37,55,47,34,18,43,46,48,43,44,43,36,31,43,39,50,42,43
SAL,36,37,38,19,37,35,50,36,38,41,38,40,37,44,37,35,39,40,42,30,49,38,36,53,30,36,39,33,33,36,38,37,40,32,34,49,46,48,31,38,36,50,38,42,39,40,37,38,34,35,50,53,42,58,30,33,35,35,38,37,40,44,35,37,37,43,43,39,32,56,39,34,39,45,53,40,35,46,43,37,35,39,38,44,41,43,44,37,39,22,23,47,6,38,37,33,34,37,34,36,37,18,35,36,39,40,40,31,38,38,20,36,39,48,21,37,25,40,35,43,38,39,14,44,40,39,48,37,45,37,39,33,43,19,49,37,52,52,43,39,42,39,42,43,37,29,36,32,29,27,35,38,41,39,35,37,34,36,36,24,29,40,21,45,46,37,39,39,41,35,5,36,41,41,30,39,27,42,41,40,30,19,39,41,35,39,39,50,32,31,46,37,41,38,40
EQG,28,28,32,17,34,27,31,29,25,30,29,30,28,29,29,25,29,28,35,25,30,31,31,32,24,27,33,27,32,34,29,36,28,34,35,30,31,30,32,34,36,31,34,30,26,30,28,28,32,28,32,30,32,30,39,28,27,31,32,28,28,32,36,32,30,29,34,29,28,30,32,35,28,32,30,29,26,31,29,29,29,27,28,29,30,30,29,29,31,21,20,29,6,31,27,28,26,31,30,30,32,14,27,28,33,32,29,27,33,28,19,33,34,29,20,27,21,29,28,33,33,33,14,29,29,26,30,33,33,28,29,27,30,19,30,30,30,30,30,28,30,31,29,28,32,27,29,27,27,21,34,31,35,29,32,31,26,27,27,23,29,32,19,29,30,32,29,28,30,29,2,28,32,31,28,34,25,30,33,29,25,19,31,28,31,27,26,31,26,28,30,30,30,31,32
ERI,31,31,34,15,33,29,35,29,29,32,31,31,33,33,30,30,30,30,36,25,33,31,33,36,26,30,35,29,32,32,31,36,30,31,31,33,33,33,32,37,34,33,36,31,29,32,31,30,34,29,34,33,35,33,28,39,28,35,36,32,32,33,34,34,29,32,35,31,26,33,32,32,30,33,33,31,28,36,33,32,32,29,30,31,32,33,34,31,34,22,20,32,6,35,30,30,28,33,32,35,37,12,30,30,37,36,34,28,33,30,21,36,37,33,18,29,19,31,30,35,34,34,14,33,32,30,31,33,36,30,31,31,34,18,33,31,33,33,33,31,32,33,31,31,34,24,30,26,27,22,32,34,37,30,34,34,29,30,28,23,30,36,20,31,33,38,29,31,31,32,2,30,35,33,27,35,25,32,35,31,28,20,37,32,34,30,30,32,30,28,34,32,32,34,36
EST,34,41,38,21,31,30,43,36,45,55,39,31,33,37,31,35,57,31,38,26,35,42,32,41,26,49,36,30,30,33,32,34,51,30,32,41,39,39,30,37,34,38,36,52,29,48,53,58,31,30,39,38,39,35,27,28,61,31,33,33,59,58,33,32,40,57,37,56,26,37,34,31,31,35,35,54,49,40,36,34,30,54,40,58,32,47,40,36,34,22,19,46,7,34,34,29,55,34,31,32,32,23,52,55,37,33,34,28,34,49,20,34,37,45,20,39,27,36,42,40,36,34,14,35,58,45,35,34,39,44,55,29,37,19,36,32,36,39,39,55,56,36,53,46,34,25,31,26,28,28,31,35,38,46,33,33,35,52,53,22,26,41,20,56,36,33,33,58,52,31,3,34,35,40,26,35,26,35,40,50,29,18,34,43,34,55,50,37,32,27,37,33,35,33,32
SWA,33,32,36,16,37,31,36,31,32,34,33,35,34,36,33,31,33,33,38,28,34,34,39,36,29,31,37,32,35,36,33,39,33,35,35,35,35,35,35,40,37,35,37,34,30,35,32,33,35,31,36,35,36,35,31,35,31,42,39,36,33,34,37,36,32,34,38,33,28,35,35,35,33,35,35,33,31,37,34,34,33,32,33,34,35,34,35,32,39,24,21,34,6,35,32,31,30,33,37,36,37,15,31,32,40,40,35,30,36,34,21,37,40,34,21,31,20,34,32,37,38,40,16,34,34,33,35,36,39,32,34,30,36,19,35,35,35,35,35,32,34,34,33,33,39,27,32,29,30,23,35,35,38,33,38,37,32,31,30,25,30,41,21,34,36,38,32,33,34,32,3,32,39,35,29,38,28,35,36,33,29,21,39,32,34,33,32,34,30,31,34,34,34,40,40
ETH,37,35,39,17,38,31,40,33,36,38,36,34,36,39,34,33,37,32,42,29,37,35,38,41,28,34,40,34,37,37,36,41,38,36,37,38,39,40,35,44,41,38,42,36,32,37,35,38,40,31,38,39,41,38,32,36,33,39,47,37,37,39,39,38,33,39,44,37,28,40,40,37,33,37,38,36,32,41,37,38,36,35,35,38,35,40,39,35,43,23,23,37,6,37,36,33,32,37,37,38,39,16,32,34,43,40,36,30,41,34,21,39,41,38,22,34,21,37,34,39,40,40,15,37,39,36,37,39,45,34,39,32,40,20,37,38,37,41,39,36,37,36,37,37,41,26,32,29,30,24,37,37,43,35,38,40,33,33,32,26,34,42,23,37,39,42,33,39,39,35,3,35,42,38,31,42,28,38,39,36,31,20,43,35,35,37,36,36,31,31,38,36,38,42,43
FIJ,36,34,34,17,34,33,37,32,41,36,34,35,35,41,35,31,35,33,39,30,37,34,36,39,30,34,37,34,33,35,36,38,38,33,33,37,38,37,33,38,36,36,36,35,33,37,34,36,33,33,39,39,36,37,28,32,33,36,37,48,36,39,35,36,34,37,39,36,29,39,37,34,35,36,36,35,33,43,39,36,33,36,33,37,37,40,38,33,37,29,22,40,6,35,35,33,32,33,34,36,34,16,32,34,37,38,40,33,37,35,27,35,39,36,26,33,21,38,34,35,36,38,22,39,38,42,34,35,41,33,37,31,41,24,36,43,37,39,40,36,37,34,37,37,37,29,34,31,36,24,33,36,38,34,35,38,36,32,32,31,28,40,20,37,41,35,34,37,36,33,4,35,39,39,32,36,34,38,36,37,30,26,38,35,33,37,37,37,32,36,36,36,35,38,38
FIN,38,43,41,20,34,32,52,40,55,67,43,34,36,43,34,41,71,33,42,28,40,44,35,52,29,54,39,33,31,34,35,39,63,32,34,47,51,45,32,40,37,42,40,58,33,51,59,74,33,31,42,43,43,40,28,32,59,33,37,36,82,75,36,37,42,74,44,63,27,43,37,33,34,37,41,61,54,52,44,37,34,63,46,74,35,63,45,43,40,23,22,61,6,40,40,31,54,37,34,37,37,23,52,61,40,37,41,30,37,52,23,37,40,54,21,41,28,40,45,44,40,38,15,42,73,52,37,38,46,46,69,32,43,21,41,36,41,45,45,63,68,40,58,57,35,26,32,28,30,28,33,40,44,51,35,39,40,57,57,25,30,48,20,71,41,37,35,77,66,34,4,39,41,44,29,39,29,41,43,62,33,20,38,49,38,70,65,41,37,30,42,36,40,37,37
FRN,39,46,42,23,36,32,56,42,58,70,43,35,37,46,34,42,74,32,46,29,45,46,35,59,30,57,42,34,33,36,37,44,71,36,39,48,59,46,35,42,41,44,46,61,36,52,63,71,37,31,44,46,48,44,32,33,58,34,39,39,75,96,40,39,44,82,48,67,27,47,42,36,33,39,44,63,51,57,49,38,35,65,49,83,36,71,48,45,41,25,23,65,7,42,40,33,54,39,34,38,39,22,52,61,42,40,45,31,40,52,25,39,42,57,23,45,30,42,47,47,41,39,17,45,77,53,38,42,49,47,68,33,46,23,42,38,46,50,48,68,70,41,63,62,37,26,32,28,32,30,35,42,48,54,37,39,40,60,59,27,31,51,21,75,44,39,34,74,68,35,4,39,42,46,32,44,31,41,47,66,33,22,40,53,40,78,77,45,37,34,43,38,43,40,38
GAB,37,36,41,19,38,32,40,33,33,36,36,35,37,38,33,32,36,31,44,29,36,39,38,40,30,34,42,33,38,39,34,46,35,41,43,37,38,38,40,42,43,38,45,37,32,37,36,35,39,32,38,36,40,35,36,34,33,37,39,35,36,40,48,41,35,37,42,36,29,37,40,40,33,36,37,36,33,39,39,38,36,33,34,36,34,37,39,36,38,23,23,37,7,39,34,32,33,38,36,38,41,16,34,35,40,40,38,33,42,35,24,42,41,38,22,34,23,37,36,41,41,40,16,36,37,34,35,42,43,34,36,34,40,21,37,35,37,38,38,36,36,39,36,35,38,27,33,29,31,25,37,38,45,36,38,40,33,33,32,24,34,41,22,36,37,40,35,35,37,36,3,36,40,38,31,42,29,37,42,36,31,20,40,35,39,35,33,36,34,32,38,36,38,38,38
GAM,37,35,38,18,37,32,38,32,32,35,36,33,36,42,34,31,33,30,48,30,40,37,38,41,28,33,44,32,37,38,36,41,33,36,40,36,40,36,37,39,39,36,44,35,31,35,34,35,39,31,38,40,41,37,32,34,32,36,38,36,37,39,41,48,33,37,45,34,29,38,43,41,34,35,37,34,31,39,41,37,35,33,32,35,34,36,43,36,40,23,23,39,6,37,37,31,30,35,36,40,39,15,32,33,39,42,40,33,43,33,22,40,39,36,22,34,20,37,33,39,39,43,16,41,36,33,34,44,47,32,35,33,41,20,36,35,39,39,38,36,36,36,36,37,39,27,33,30,31,24,35,37,47,35,36,44,31,31,30,25,35,41,22,35,36,40,35,35,35,35,3,37,41,38,31,45,28,36,41,35,32,20,42,36,36,34,33,37,34,31,36,34,42,41,42
